"country","country_of_origin","election_date","election_type","registered_voters","total_votes","valid_votes","null_votes","blanco_votes","invalid_votes","votes_party_1","party_party_1","votes_party_2","party_party_2","votes_party_3","party_party_3","votes_party_4","party_party_4","votes_party_5","party_party_5","votes_party_6","party_party_6","votes_party_7","party_party_7","votes_party_8","party_party_8","votes_party_9","party_party_9","votes_party_10","party_party_10","votes_party_11","party_party_11","votes_party_12","party_party_12","votes_party_13","party_party_13","votes_party_14","party_party_14","votes_party_15","party_party_15","votes_party_16","party_party_16","votes_party_17","party_party_17","votes_party_18","party_party_18","votes_party_19","party_party_19","votes_party_20","party_party_20","votes_party_21","party_party_21","votes_party_22","party_party_22","votes_party_23","party_party_23","votes_party_24","party_party_24","votes_party_25","party_party_25","votes_party_26","party_party_26","votes_party_27","party_party_27","votes_party_28","party_party_28","votes_party_29","party_party_29","votes_party_30","party_party_30","votes_party_31","party_party_31","votes_party_32","party_party_32","votes_party_33","party_party_33","votes_party_34","party_party_34","votes_party_35","party_party_35","votes_party_36","party_party_36","votes_party_37","party_party_37","votes_party_38","party_party_38","votes_party_39","party_party_39","votes_party_40","party_party_40","votes_party_41","party_party_41","votes_party_42","party_party_42","votes_party_43","party_party_43","votes_party_44","party_party_44","votes_party_45","party_party_45","votes_party_46","party_party_46","votes_party_47","party_party_47","votes_party_48","party_party_48","votes_party_49","party_party_49","votes_party_50","party_party_50","votes_party_51","party_party_51","votes_party_52","party_party_52","votes_party_53","party_party_53","votes_party_54","party_party_54","votes_party_55","party_party_55","national_winner","votes_national_winner","unmarked_votes"
"Belarus","Romania",2000-11-26,"Legislative",NA,14,14,0,NA,NA,4,"PDSR-PUR-PSDR",4,"PD",2,"PNL",2,"ApR",1,"CDR 2000",1,"PUNR - PNR",0,"PRM",0,"PNT",0,"PNL - C",0,"PLRSD",0,"PDPRD",0,"P ROMII",0,"F - EVREI",0,"ECOLOGISTII",0,"PSAP",0,"UDMR",0,"CI",0,"PNDC",0,"C ITRO - IS2",0,"PLDMRO",0,"C - ROMII",0,"LAR",0,"PVR",0,"U - TURCA",0,"PREV",0,"PLDR",0,"PRN",0,"UDC",0,"U - UCRAINENI",0,"PSM",0,"U - ARMENI",0,"PN",0,"PSDCTP",0,"UBBR",0,"PP",0,"PSR",0,"C - TURCA",0,"LIR",0,"FDGR",0,"U D - UCRAINENI",0,"ULB",0,"U - CROATI",0,"U - TATARI",0,"L C- ITALIENI",0,"AMSR",0,"U - ELENA",0,"DOM POLSKI",0,"PMR",0,"G2K",0,"C LIPOVENI",0,"PUPPD",0,"A - BULGARI",0,"C ELENA PH",0,"U - RUTENI",0,"UCAR","PDSR-PUR-PSDR",4,NA
"Belgium","Romania",2000-11-26,"Legislative",NA,873,861,11,NA,NA,273,"CDR 2000",193,"PNL",85,"PDSR-PUR-PSDR",74,"PD",65,"PRM",32,"ECOLOGISTII",30,"PNL - C",17,"UDMR",15,"PNT",15,"ApR",13,"PUNR - PNR",7,"PLDR",5,"PVR",4,"F - EVREI",4,"FDGR",3,"PDPRD",3,"PSM",2,"PLRSD",2,"PSAP",2,"PLDMRO",2,"PSDCTP",2,"U - CROATI",1,"P ROMII",1,"CI",1,"C ITRO - IS2",1,"LAR",1,"U - UCRAINENI",1,"PSR",1,"U D - UCRAINENI",1,"L C- ITALIENI",1,"U - ELENA",1,"DOM POLSKI",1,"PMR",1,"G2K",1,"C LIPOVENI",0,"PNDC",0,"C - ROMII",0,"U - TURCA",0,"PREV",0,"PRN",0,"UDC",0,"U - ARMENI",0,"PN",0,"UBBR",0,"PP",0,"C - TURCA",0,"LIR",0,"ULB",0,"U - TATARI",0,"AMSR",0,"PUPPD",0,"A - BULGARI",0,"C ELENA PH",0,"U - RUTENI",0,"UCAR","PDSR-PUR-PSDR",85,NA
"Bosnia","Romania",2000-11-26,"Legislative",NA,76,75,1,NA,NA,27,"PDSR-PUR-PSDR",20,"PRM",10,"PD",5,"PNL",4,"CDR 2000",2,"PUNR - PNR",1,"ApR",1,"PLRSD",1,"PSM",1,"PSDCTP",1,"FDGR",1,"PMR",1,"PUPPD",0,"PNT",0,"PNL - C",0,"PDPRD",0,"P ROMII",0,"F - EVREI",0,"ECOLOGISTII",0,"PSAP",0,"UDMR",0,"CI",0,"PNDC",0,"C ITRO - IS2",0,"PLDMRO",0,"C - ROMII",0,"LAR",0,"PVR",0,"U - TURCA",0,"PREV",0,"PLDR",0,"PRN",0,"UDC",0,"U - UCRAINENI",0,"U - ARMENI",0,"PN",0,"UBBR",0,"PP",0,"PSR",0,"C - TURCA",0,"LIR",0,"U D - UCRAINENI",0,"ULB",0,"U - CROATI",0,"U - TATARI",0,"L C- ITALIENI",0,"AMSR",0,"U - ELENA",0,"DOM POLSKI",0,"G2K",0,"C LIPOVENI",0,"A - BULGARI",0,"C ELENA PH",0,"U - RUTENI",0,"UCAR","PDSR-PUR-PSDR",27,NA
"Brazil","Romania",2000-11-26,"Legislative",NA,74,72,2,NA,NA,18,"PDSR-PUR-PSDR",13,"CDR 2000",12,"PRM",9,"PNL",6,"PD",3,"F - EVREI",2,"ECOLOGISTII",1,"PNT",1,"PNL - C",1,"ApR",1,"PDPRD",1,"UDMR",1,"PUNR - PNR",1,"PLDMRO",1,"U D - UCRAINENI",1,"PMR",0,"PLRSD",0,"P ROMII",0,"PSAP",0,"CI",0,"PNDC",0,"C ITRO - IS2",0,"C - ROMII",0,"LAR",0,"PVR",0,"U - TURCA",0,"PREV",0,"PLDR",0,"PRN",0,"UDC",0,"U - UCRAINENI",0,"PSM",0,"U - ARMENI",0,"PN",0,"PSDCTP",0,"UBBR",0,"PP",0,"PSR",0,"C - TURCA",0,"LIR",0,"FDGR",0,"ULB",0,"U - CROATI",0,"U - TATARI",0,"L C- ITALIENI",0,"AMSR",0,"U - ELENA",0,"DOM POLSKI",0,"G2K",0,"C LIPOVENI",0,"PUPPD",0,"A - BULGARI",0,"C ELENA PH",0,"U - RUTENI",0,"UCAR","PDSR-PUR-PSDR",18,NA
"Bulgaria","Romania",2000-11-26,"Legislative",NA,101,98,3,NA,NA,31,"PDSR-PUR-PSDR",16,"CDR 2000",13,"PRM",13,"PNL",8,"PD",4,"ApR",4,"ECOLOGISTII",3,"A - BULGARI",2,"PUNR - PNR",1,"PNT",1,"UDMR",1,"PNDC",1,"PRN",0,"PNL - C",0,"PLRSD",0,"PDPRD",0,"P ROMII",0,"F - EVREI",0,"PSAP",0,"CI",0,"C ITRO - IS2",0,"PLDMRO",0,"C - ROMII",0,"LAR",0,"PVR",0,"U - TURCA",0,"PREV",0,"PLDR",0,"UDC",0,"U - UCRAINENI",0,"PSM",0,"U - ARMENI",0,"PN",0,"PSDCTP",0,"UBBR",0,"PP",0,"PSR",0,"C - TURCA",0,"LIR",0,"FDGR",0,"U D - UCRAINENI",0,"ULB",0,"U - CROATI",0,"U - TATARI",0,"L C- ITALIENI",0,"AMSR",0,"U - ELENA",0,"DOM POLSKI",0,"PMR",0,"G2K",0,"C LIPOVENI",0,"PUPPD",0,"C ELENA PH",0,"U - RUTENI",0,"UCAR","PDSR-PUR-PSDR",31,NA
"Cameroon","Romania",2000-11-26,"Legislative",NA,26,26,0,NA,NA,4,"CDR 2000",4,"PNL - C",4,"PNL",2,"PRM",2,"PD",2,"PSAP",2,"PSDCTP",1,"PDSR-PUR-PSDR",1,"PNT",1,"ApR",1,"ECOLOGISTII",1,"PLDR",1,"LIR",0,"PLRSD",0,"PDPRD",0,"P ROMII",0,"F - EVREI",0,"UDMR",0,"CI",0,"PNDC",0,"C ITRO - IS2",0,"PUNR - PNR",0,"PLDMRO",0,"C - ROMII",0,"LAR",0,"PVR",0,"U - TURCA",0,"PREV",0,"PRN",0,"UDC",0,"U - UCRAINENI",0,"PSM",0,"U - ARMENI",0,"PN",0,"UBBR",0,"PP",0,"PSR",0,"C - TURCA",0,"FDGR",0,"U D - UCRAINENI",0,"ULB",0,"U - CROATI",0,"U - TATARI",0,"L C- ITALIENI",0,"AMSR",0,"U - ELENA",0,"DOM POLSKI",0,"PMR",0,"G2K",0,"C LIPOVENI",0,"PUPPD",0,"A - BULGARI",0,"C ELENA PH",0,"U - RUTENI",0,"UCAR","PDSR-PUR-PSDR",1,NA
"Canada","Romania",2000-11-26,"Legislative",NA,1967,1939,28,NA,NA,951,"CDR 2000",375,"PNL",97,"PRM",95,"PD",94,"PDSR-PUR-PSDR",76,"PNL - C",37,"UDMR",27,"PNT",19,"PUNR - PNR",17,"PSAP",15,"ECOLOGISTII",14,"ApR",11,"PDPRD",11,"CI",11,"PLDR",10,"FDGR",9,"F - EVREI",9,"PLDMRO",8,"PN",6,"PSM",5,"P ROMII",4,"C ITRO - IS2",4,"PSDCTP",3,"PNDC",3,"PVR",3,"PREV",3,"U D - UCRAINENI",3,"AMSR",2,"U - ARMENI",2,"PP",2,"C - TURCA",2,"ULB",2,"G2K",1,"PLRSD",1,"LAR",1,"U - TURCA",1,"PRN",1,"UDC",1,"L C- ITALIENI",1,"DOM POLSKI",1,"A - BULGARI",1,"C ELENA PH",0,"C - ROMII",0,"U - UCRAINENI",0,"UBBR",0,"PSR",0,"LIR",0,"U - CROATI",0,"U - TATARI",0,"U - ELENA",0,"PMR",0,"C LIPOVENI",0,"PUPPD",0,"U - RUTENI",0,"UCAR","PDSR-PUR-PSDR",94,NA
"Czechia","Romania",2000-11-26,"Legislative",NA,166,158,8,NA,NA,27,"CDR 2000",26,"PDSR-PUR-PSDR",24,"PRM",18,"PNL",17,"PD",6,"UDMR",5,"ApR",5,"ECOLOGISTII",5,"PVR",4,"PNL - C",4,"PSM",2,"P ROMII",2,"CI",2,"PLDR",2,"PSDCTP",2,"U D - UCRAINENI",1,"PNT",1,"PSAP",1,"C ITRO - IS2",1,"PLDMRO",1,"PN",1,"AMSR",1,"U - RUTENI",0,"PLRSD",0,"PDPRD",0,"F - EVREI",0,"PNDC",0,"PUNR - PNR",0,"C - ROMII",0,"LAR",0,"U - TURCA",0,"PREV",0,"PRN",0,"UDC",0,"U - UCRAINENI",0,"U - ARMENI",0,"UBBR",0,"PP",0,"PSR",0,"C - TURCA",0,"LIR",0,"FDGR",0,"ULB",0,"U - CROATI",0,"U - TATARI",0,"L C- ITALIENI",0,"U - ELENA",0,"DOM POLSKI",0,"PMR",0,"G2K",0,"C LIPOVENI",0,"PUPPD",0,"A - BULGARI",0,"C ELENA PH",0,"UCAR","PDSR-PUR-PSDR",26,NA
"Chile","Romania",2000-11-26,"Legislative",NA,44,43,1,NA,NA,9,"PDSR-PUR-PSDR",8,"PNL",7,"CDR 2000",5,"PD",4,"PNL - C",4,"ApR",2,"UDMR",1,"PRM",1,"PSAP",1,"PUNR - PNR",1,"PSDCTP",0,"PNT",0,"PLRSD",0,"PDPRD",0,"P ROMII",0,"F - EVREI",0,"ECOLOGISTII",0,"CI",0,"PNDC",0,"C ITRO - IS2",0,"PLDMRO",0,"C - ROMII",0,"LAR",0,"PVR",0,"U - TURCA",0,"PREV",0,"PLDR",0,"PRN",0,"UDC",0,"U - UCRAINENI",0,"PSM",0,"U - ARMENI",0,"PN",0,"UBBR",0,"PP",0,"PSR",0,"C - TURCA",0,"LIR",0,"FDGR",0,"U D - UCRAINENI",0,"ULB",0,"U - CROATI",0,"U - TATARI",0,"L C- ITALIENI",0,"AMSR",0,"U - ELENA",0,"DOM POLSKI",0,"PMR",0,"G2K",0,"C LIPOVENI",0,"PUPPD",0,"A - BULGARI",0,"C ELENA PH",0,"U - RUTENI",0,"UCAR","PDSR-PUR-PSDR",9,NA
"China","Romania",2000-11-26,"Legislative",NA,153,153,0,NA,NA,55,"PDSR-PUR-PSDR",25,"PNL",24,"PRM",15,"PD",12,"CDR 2000",6,"ApR",5,"UDMR",3,"ECOLOGISTII",2,"PNL - C",1,"PSAP",1,"CI",1,"PUNR - PNR",1,"PLDR",1,"PSM",1,"UBBR",0,"PNT",0,"PLRSD",0,"PDPRD",0,"P ROMII",0,"F - EVREI",0,"PNDC",0,"C ITRO - IS2",0,"PLDMRO",0,"C - ROMII",0,"LAR",0,"PVR",0,"U - TURCA",0,"PREV",0,"PRN",0,"UDC",0,"U - UCRAINENI",0,"U - ARMENI",0,"PN",0,"PSDCTP",0,"PP",0,"PSR",0,"C - TURCA",0,"LIR",0,"FDGR",0,"U D - UCRAINENI",0,"ULB",0,"U - CROATI",0,"U - TATARI",0,"L C- ITALIENI",0,"AMSR",0,"U - ELENA",0,"DOM POLSKI",0,"PMR",0,"G2K",0,"C LIPOVENI",0,"PUPPD",0,"A - BULGARI",0,"C ELENA PH",0,"U - RUTENI",0,"UCAR","PDSR-PUR-PSDR",55,NA
"Cyprus","Romania",2000-11-26,"Legislative",NA,254,250,4,NA,NA,60,"PRM",56,"PDSR-PUR-PSDR",43,"PNL",23,"CDR 2000",14,"PD",12,"PNL - C",6,"PSM",4,"ApR",4,"ECOLOGISTII",4,"PNDC",3,"CI",2,"P ROMII",2,"PSAP",2,"PVR",2,"L C- ITALIENI",1,"PNT",1,"PLRSD",1,"PDPRD",1,"UDMR",1,"C ITRO - IS2",1,"PUNR - PNR",1,"PLDMRO",1,"U - TURCA",1,"PLDR",1,"UDC",1,"PSDCTP",1,"UBBR",1,"C - TURCA",0,"F - EVREI",0,"C - ROMII",0,"LAR",0,"PREV",0,"PRN",0,"U - UCRAINENI",0,"U - ARMENI",0,"PN",0,"PP",0,"PSR",0,"LIR",0,"FDGR",0,"U D - UCRAINENI",0,"ULB",0,"U - CROATI",0,"U - TATARI",0,"AMSR",0,"U - ELENA",0,"DOM POLSKI",0,"PMR",0,"G2K",0,"C LIPOVENI",0,"PUPPD",0,"A - BULGARI",0,"C ELENA PH",0,"U - RUTENI",0,"UCAR","PDSR-PUR-PSDR",56,NA
"Colombia","Romania",2000-11-26,"Legislative",NA,39,39,0,NA,NA,17,"PDSR-PUR-PSDR",7,"PNL",4,"ECOLOGISTII",3,"PRM",2,"PNL - C",1,"CDR 2000",1,"PLRSD",1,"F - EVREI",1,"PLDR",1,"PSDCTP",1,"U D - UCRAINENI",0,"PNT",0,"ApR",0,"PDPRD",0,"P ROMII",0,"PD",0,"PSAP",0,"UDMR",0,"CI",0,"PNDC",0,"C ITRO - IS2",0,"PUNR - PNR",0,"PLDMRO",0,"C - ROMII",0,"LAR",0,"PVR",0,"U - TURCA",0,"PREV",0,"PRN",0,"UDC",0,"U - UCRAINENI",0,"PSM",0,"U - ARMENI",0,"PN",0,"UBBR",0,"PP",0,"PSR",0,"C - TURCA",0,"LIR",0,"FDGR",0,"ULB",0,"U - CROATI",0,"U - TATARI",0,"L C- ITALIENI",0,"AMSR",0,"U - ELENA",0,"DOM POLSKI",0,"PMR",0,"G2K",0,"C LIPOVENI",0,"PUPPD",0,"A - BULGARI",0,"C ELENA PH",0,"U - RUTENI",0,"UCAR","PDSR-PUR-PSDR",17,NA
